Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %
2001,110,The Brothers,"$27,958,191","$27,457,409",98.2%,"$500,782",1.8%
2001,111,The Last Castle,"$27,642,707","$18,244,060",66%,"$9,398,647",34%
2001,112,Saving Silverman,"$26,086,706","$19,402,030",74.4%,"$6,684,676",25.6%
2001,113,Corky Romano,"$25,272,752","$23,980,304",94.9%,"$1,292,448",5.1%
2001,114,The Shipping News,"$24,690,441","$11,434,216",46.3%,"$13,256,225",53.7%
2001,115,Joe Somebody,"$24,516,772","$22,771,646",92.9%,"$1,745,126",7.1%
2001,116,Nowhere in Africa,"$24,322,180","$6,180,200",25.4%,"$18,141,980",74.6%
2001,117,Tanguy,"$24,272,365",-,-,"$24,272,365",100%
2001,118,Life as a House,"$23,903,791","$15,667,270",65.5%,"$8,236,521",34.5%
2001,119,The Glass House,"$23,619,609","$18,150,259",76.8%,"$5,469,350",23.2%
2001,120,Tomcats,"$23,430,766","$13,558,739",57.9%,"$9,872,027",42.1%
2001,121,Kingdom Come,"$23,396,049","$23,249,649",99.4%,"$146,400",0.6%
2001,122,Two Can Play That Game,"$22,391,450","$22,235,901",99.3%,"$155,549",0.7%
2001,123,Winged Migration,"$21,493,351","$924,651",4.3%,"$20,568,700",95.7%
2001,124,Amores Perros,"$20,908,467","$5,408,467",25.9%,"$15,500,000",74.1%
2001,125,Mulholland Drive,"$20,117,339","$7,220,243",35.9%,"$12,897,096",64.1%
2001,126,Himalaya 2001 Re-release,"$19,960,881","$2,487,878",12.5%,"$17,473,003",87.5%
2001,127,Crazy/Beautiful,"$19,937,988","$16,937,988",85%,"$3,000,000",15%
2001,128,Get Over It,"$19,900,366","$11,576,464",58.2%,"$8,323,902",41.8%
2001,129,Summer Catch,"$19,772,447","$19,753,553",99.9%,"$18,894",<0.1%
2001,130,Shackleton's Antarctic Adventure,"$19,613,216","$15,553,324",79.3%,"$4,059,892",20.7%
2001,131,Rock Star,"$19,334,145","$17,008,282",88%,"$2,325,863",12%
2001,132,O,"$19,260,537","$16,025,437",83.2%,"$3,235,100",16.8%
2001,133,The Man Who Wasn't There,"$18,916,623","$7,504,257",39.7%,"$11,412,366",60.3%
2001,134,The Curse of the Jade Scorpion,"$18,914,307","$7,517,191",39.7%,"$11,397,116",60.3%
2001,135,3000 Miles to Graceland,"$18,720,175","$15,749,959",84.1%,"$2,970,216",15.9%
2001,136,Max Keeble's Big Move,"$18,634,654","$17,294,293",92.8%,"$1,340,361",7.2%
2001,137,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack","$18,623,382",-,-,"$18,623,382",100%
2001,138,Antitrust,"$18,195,610","$11,328,094",62.3%,"$6,867,516",37.7%
2001,139,Jason X,"$16,951,798","$13,121,555",77.4%,"$3,830,243",22.6%
2001,140,Sugar & Spice,"$16,908,947","$13,305,101",78.7%,"$3,603,846",21.3%
2001,141,Just Visiting,"$16,176,732","$4,781,539",29.6%,"$11,395,193",70.4%
2001,142,Iris,"$16,153,953","$5,594,617",34.6%,"$10,559,336",65.4%
2001,143,Lantana,"$15,747,450","$4,623,189",29.4%,"$11,124,261",70.6%
2001,144,Enigma 2001 Re-release,"$15,705,007","$4,301,582",27.4%,"$11,403,425",72.6%
2001,145,With a Friend Like Harry...,"$15,472,186","$3,830,441",24.8%,"$11,641,745",75.2%
2001,146,Brother,"$15,250,594","$450,594",3%,"$14,800,000",97%
2001,147,Josie and the Pussycats,"$14,866,015","$14,271,015",96%,"$595,000",4%
2001,148,Out Cold,"$14,782,676","$13,906,394",94.1%,"$876,282",5.9%
2001,149,Iron Monkey,"$14,694,904","$14,694,904",100%,-,-
2001,150,Together,"$14,572,229","$1,034,829",7.1%,"$13,537,400",92.9%
2001,151,Freddy Got Fingered,"$14,333,252","$14,254,993",99.5%,"$78,259",0.5%
2001,152,Osmosis Jones,"$14,026,418","$13,596,911",96.9%,"$429,507",3.1%
2001,153,Ghosts of Mars,"$14,010,832","$8,709,640",62.2%,"$5,301,192",37.8%
2001,154,American Outlaws,"$13,678,913","$13,342,790",97.5%,"$336,123",2.5%
2001,155,One Night at McCool's,"$13,473,370","$6,290,673",46.7%,"$7,182,697",53.3%
2001,156,Vidocq,"$13,240,767",-,-,"$13,240,767",100%
2001,157,Head Over Heels,"$13,127,022","$10,424,470",79.4%,"$2,702,552",20.6%
2001,158,Formula 51,"$12,881,605","$5,204,007",40.4%,"$7,677,598",59.6%
2001,159,The Girl from Paris,"$12,812,396","$183,266",1.4%,"$12,629,130",98.6%
2001,160,Apocalypse Now Redux,"$12,543,269","$4,626,290",36.9%,"$7,916,979",63.1%
2001,161,Say It Isn't So,"$12,320,393","$5,520,393",44.8%,"$6,800,000",55.2%
2001,162,The Son's Room,"$11,767,402","$1,016,340",8.6%,"$10,751,062",91.4%
2001,163,Les rois mages,"$11,702,020",-,-,"$11,702,020",100%
2001,164,The Experiment,"$11,455,141",-,-,"$11,455,141",100%
2001,165,Kabhi Khushi Kabhie Gham...,"$11,329,690","$2,902,000",25.6%,"$8,427,690",74.4%
2001,166,The Little Polar Bear,"$11,243,547",-,-,"$11,243,547",100%
2001,167,Inuyasha the Movie: Affections Touching Across Time,"$10,539,779",-,-,"$10,539,779",100%
2001,168,Town & Country,"$10,372,291","$6,719,973",64.8%,"$3,652,318",35.2%
2001,169,Wasabi,"$10,366,360","$97,220",0.9%,"$10,269,140",99.1%
2001,170,The Wash,"$10,229,331","$10,097,538",98.7%,"$131,793",1.3%
2001,171,Sexy Beast,"$10,045,677","$6,946,056",69.1%,"$3,099,621",30.9%
2001,172,Girls on Top,"$10,038,662",-,-,"$10,038,662",100%
2001,173,The Deep End,"$10,031,529","$8,823,109",88%,"$1,208,420",12%
2001,174,Mad Love,"$9,306,362","$280,046",3%,"$9,026,316",97%
2001,175,Kandahar,"$8,914,751","$1,418,314",15.9%,"$7,496,437",84.1%
2001,176,Son of the Bride,"$8,772,695","$624,757",7.1%,"$8,147,938",92.9%
2001,177,Ghost World,"$8,764,007","$6,217,849",70.9%,"$2,546,158",29.1%
2001,178,The Forsaken,"$8,704,851","$7,288,451",83.7%,"$1,416,400",16.3%
2001,179,Tini: The New Life of Violetta,"$8,678,476",-,-,"$8,678,476",100%
2001,180,The Prince and the Pirate,"$8,579,972",-,-,"$8,579,972",100%
2001,181,Bones,"$8,378,853","$7,316,658",87.3%,"$1,062,195",12.7%
2001,182,Merry Christmas,"$8,228,560",-,-,"$8,228,560",100%
2001,183,The Hole,"$7,644,361",-,-,"$7,644,361",100%
2001,184,Sex and Lucía,"$7,640,680","$1,594,779",20.9%,"$6,045,901",79.1%
2001,185,Monkeybone,"$7,622,365","$5,411,999",71%,"$2,210,366",29%
2001,186,Mean Machine,"$7,310,206","$92,770",1.3%,"$7,217,436",98.7%
2001,187,The Slurb,"$6,854,681",-,-,"$6,854,681",100%
2001,188,China: The Panda Adventure,"$6,784,985","$3,921,642",57.8%,"$2,863,343",42.2%
2001,189,The Road Home,"$6,780,490","$1,280,490",18.9%,"$5,500,000",81.1%
2001,190,The Piano Teacher,"$6,749,315","$1,012,069",15%,"$5,737,246",85%
2001,191,Under the Sand,"$6,531,687","$1,452,698",22.2%,"$5,078,989",77.8%
2001,192,The Devil's Backbone,"$6,459,020","$755,249",11.7%,"$5,703,771",88.3%
2001,193,Megiddo: The Omega Code 2,"$6,047,691","$6,047,691",100%,-,-
2001,194,Chaos,"$6,042,938",-,-,"$6,042,938",100%
2001,195,Tom Thumb,"$5,867,304",-,-,"$5,867,304",100%
2001,196,The Golden Bowl,"$5,753,678","$3,050,532",53%,"$2,703,146",47%
2001,197,A Fish Tale,"$5,595,327","$563,911",10.1%,"$5,031,416",89.9%
2001,198,Made,"$5,480,653","$5,313,300",96.9%,"$167,353",3.1%
2001,199,Read My Lips,"$5,393,526","$1,471,911",27.3%,"$3,921,615",72.7%
2001,200,Charlotte Gray,"$5,323,109","$741,394",13.9%,"$4,581,715",86.1%
2002,1,The Lord of the Rings: The Two Towers,"$936,689,735","$339,789,881",36.3%,"$596,899,854",63.7%
2002,2,Harry Potter and the Chamber of Secrets,"$878,979,634","$261,988,482",29.8%,"$616,991,152",70.2%
2002,3,Spider-Man,"$821,708,551","$403,706,375",49.1%,"$418,002,176",50.9%
2002,4,Star Wars: Episode II - Attack of the Clones,"$645,256,452","$302,191,252",46.8%,"$343,065,200",53.2%
2002,5,Men in Black II,"$441,818,803","$190,418,803",43.1%,"$251,400,000",56.9%
2002,6,Die Another Day,"$431,971,116","$160,942,139",37.3%,"$271,028,977",62.7%
2002,7,Signs,"$408,247,917","$227,966,634",55.8%,"$180,281,283",44.2%
2002,8,Ice Age,"$383,257,136","$176,387,405",46%,"$206,869,731",54%
2002,9,My Big Fat Greek Wedding,"$368,744,044","$241,438,208",65.5%,"$127,305,836",34.5%
2002,10,Minority Report,"$358,372,926","$132,072,926",36.9%,"$226,300,000",63.1%
2002,11,Catch Me If You Can,"$352,114,312","$164,615,351",46.8%,"$187,498,961",53.2%
2002,12,Chicago,"$306,776,732","$170,687,518",55.6%,"$136,089,214",44.4%
2002,13,Austin Powers in Goldmember,"$296,938,801","$213,307,889",71.8%,"$83,630,912",28.2%
2002,14,xXx,"$277,448,382","$142,109,382",51.2%,"$135,339,000",48.8%
2002,15,Scooby-Doo,"$275,650,703","$153,294,164",55.6%,"$122,356,539",44.4%
2002,16,Lilo & Stitch,"$273,144,151","$145,794,338",53.4%,"$127,349,813",46.6%
2002,17,The Ring,"$249,348,933","$129,128,133",51.8%,"$120,220,800",48.2%
2002,18,8 Mile,"$242,875,078","$116,750,901",48.1%,"$126,124,177",51.9%
2002,19,The Bourne Identity,"$214,034,224","$121,661,683",56.8%,"$92,372,541",43.2%
2002,20,Red Dragon,"$209,196,298","$93,149,898",44.5%,"$116,046,400",55.5%
2002,21,Two Weeks Notice,"$199,043,242","$93,354,851",46.9%,"$105,688,391",53.1%
2002,22,Panic Room,"$196,397,415","$96,397,334",49.1%,"$100,000,081",50.9%
2002,23,The Sum of All Fears,"$193,921,372","$118,907,036",61.3%,"$75,014,336",38.7%
2002,24,Gangs of New York,"$193,772,504","$77,812,000",40.2%,"$115,960,504",59.8%
2002,25,Road to Perdition,"$181,001,478","$104,454,762",57.7%,"$76,546,716",42.3%
2002,26,Sweet Home Alabama,"$180,622,424","$127,223,418",70.4%,"$53,399,006",29.6%
2002,27,The Scorpion King,"$178,799,308","$91,047,077",50.9%,"$87,752,231",49.1%
2002,28,Hero,"$177,395,557","$53,710,019",30.3%,"$123,685,538",69.7%
2002,29,The Santa Clause 2,"$172,855,065","$139,236,327",80.6%,"$33,618,738",19.4%
2002,30,Mr. Deeds,"$171,269,535","$126,293,452",73.7%,"$44,976,083",26.3%
2002,31,Stuart Little 2,"$169,956,806","$64,956,806",38.2%,"$105,000,000",61.8%
2002,32,Blade II,"$155,010,032","$82,348,319",53.1%,"$72,661,713",46.9%
2002,33,Maid in Manhattan,"$154,906,693","$94,011,225",60.7%,"$60,895,468",39.3%
2002,34,About a Boy,"$130,549,455","$41,385,278",31.7%,"$89,164,177",68.3%
2002,35,Space Station 3D,"$128,363,881","$93,383,953",72.7%,"$34,979,928",27.3%
2002,36,The Time Machine,"$123,729,176","$56,832,494",45.9%,"$66,896,682",54.1%
2002,37,Spirit: Stallion of the Cimarron,"$122,563,539","$73,280,117",59.8%,"$49,283,422",40.2%
2002,38,The Pianist,"$120,072,577","$32,572,577",27.1%,"$87,500,000",72.9%
2002,39,Spy Kids 2: Island of Lost Dreams,"$119,723,358","$85,846,429",71.7%,"$33,876,929",28.3%
2002,40,Unfaithful,"$119,137,784","$52,775,765",44.3%,"$66,362,019",55.7%
2002,41,Snow Dogs,"$115,035,090","$81,172,560",70.6%,"$33,862,530",29.4%
2002,42,We Were Soldiers,"$114,660,784","$78,122,718",68.1%,"$36,538,066",31.9%
2002,43,Insomnia,"$113,714,830","$67,355,513",59.2%,"$46,359,317",40.8%
2002,44,Return to Never Land,"$109,862,682","$48,430,258",44.1%,"$61,432,424",55.9%
2002,45,Treasure Planet,"$109,578,115","$38,176,783",34.8%,"$71,401,332",65.2%
2002,46,The Hours,"$108,846,072","$41,675,994",38.3%,"$67,170,078",61.7%
2002,47,Asterix & Obelix: Mission Cleopatra,"$108,012,365",-,-,"$108,012,365",100%
2002,48,About Schmidt,"$105,834,556","$65,016,287",61.4%,"$40,818,269",38.6%
2002,49,The Tuxedo,"$104,391,623","$50,547,998",48.4%,"$53,843,625",51.6%
2002,50,Resident Evil,"$102,984,862","$40,119,709",39%,"$62,865,153",61%
2002,51,John Q,"$102,244,770","$71,756,802",70.2%,"$30,487,968",29.8%
2002,52,40 Days and 40 Nights,"$95,146,283","$37,950,822",39.9%,"$57,195,461",60.1%
2002,53,Changing Lanes,"$94,935,764","$66,818,548",70.4%,"$28,117,216",29.6%
2002,54,28 Days Later,"$82,719,885","$45,064,915",54.5%,"$37,654,970",45.5%
2002,55,Reign of Fire,"$82,150,183","$43,061,982",52.4%,"$39,088,201",47.6%
2002,56,The Rookie,"$80,693,537","$75,600,072",93.7%,"$5,093,465",6.3%
2002,57,Jackass: The Movie,"$79,493,831","$64,255,312",80.8%,"$15,238,519",19.2%
2002,58,Collateral Damage,"$78,382,433","$40,077,257",51.1%,"$38,305,176",48.9%
2002,59,Showtime,"$77,741,732","$38,082,712",49%,"$39,659,020",51%
2002,60,Windtalkers,"$77,628,265","$40,914,068",52.7%,"$36,714,197",47.3%
2002,61,Barbershop,"$77,063,924","$75,782,105",98.3%,"$1,281,819",1.7%
2002,62,Bend It Like Beckham,"$76,583,333","$32,543,449",42.5%,"$44,039,884",57.5%
2002,63,The Count of Monte Cristo,"$75,395,048","$54,234,062",71.9%,"$21,160,986",28.1%
2002,64,Divine Secrets of the Ya-Ya Sisterhood,"$73,839,240","$69,599,016",94.3%,"$4,240,224",5.7%
2002,65,E.T. the Extra-Terrestrial 20th Anniversary,"$69,177,751","$35,306,015",51%,"$33,871,736",49%
2002,66,The Sweetest Thing,"$68,696,770","$24,718,164",36%,"$43,978,606",64%
2002,67,Ghost Ship,"$68,349,884","$30,113,491",44.1%,"$38,236,393",55.9%
2002,68,Star Trek: Nemesis,"$67,336,470","$43,254,409",64.2%,"$24,082,061",35.8%
2002,69,Bad Company,"$65,977,295","$30,160,161",45.7%,"$35,817,134",54.3%
2002,70,K-19: The Widowmaker,"$65,716,126","$35,168,966",53.5%,"$30,547,160",46.5%
2002,71,High Crimes,"$63,781,810","$41,543,917",65.1%,"$22,237,893",34.9%
2002,72,Like Mike,"$62,274,780","$51,432,760",82.6%,"$10,842,020",17.4%
2002,73,Crossroads,"$61,141,030","$37,191,304",60.8%,"$23,949,726",39.2%
2002,74,The Wild Thornberrys,"$60,694,737","$40,108,697",66.1%,"$20,586,040",33.9%
2002,75,Bowling for Columbine,"$58,008,423","$21,576,018",37.2%,"$36,432,405",62.8%
2002,76,Drumline,"$57,588,485","$56,399,184",97.9%,"$1,189,301",2.1%
2002,77,Murder by Numbers,"$56,714,147","$31,945,749",56.3%,"$24,768,398",43.7%
2002,78,Frida,"$56,298,474","$25,885,000",46%,"$30,413,474",54%
2002,79,The Mothman Prophecies,"$55,157,539","$35,746,370",64.8%,"$19,411,169",35.2%
2002,80,Analyze That,"$55,003,135","$32,130,627",58.4%,"$22,872,508",41.6%
2002,81,The Hot Chick,"$54,639,553","$35,081,594",64.2%,"$19,557,959",35.8%
2002,82,The Cat Returns,"$53,452,652",-,-,"$53,452,652",100%
2002,83,Big Fat Liar,"$52,970,014","$48,360,547",91.3%,"$4,609,467",8.7%
2002,84,Dragonfly,"$52,323,400","$30,323,400",58%,"$22,000,000",42%
2002,85,One Hour Photo,"$52,223,306","$31,597,131",60.5%,"$20,626,175",39.5%
2002,86,Blue Crush,"$51,843,679","$40,390,647",77.9%,"$11,453,032",22.1%
2002,87,Enough,"$51,806,184","$40,007,742",77.2%,"$11,798,442",22.8%
2002,88,I Spy,"$51,386,477","$33,561,137",65.3%,"$17,825,340",34.7%
2002,89,Talk to Her 2002 Re-release,"$51,001,550","$9,285,469",18.2%,"$41,716,081",81.8%
2002,90,A Walk to Remember,"$47,494,916","$41,281,092",86.9%,"$6,213,824",13.1%
2002,91,Eight Legged Freaks,"$45,867,333","$17,322,606",37.8%,"$28,544,727",62.2%
2002,92,Queen of the Damned,"$45,479,110","$30,336,800",66.7%,"$15,142,310",33.3%
2002,93,The Transporter,"$43,928,932","$25,296,447",57.6%,"$18,632,485",42.4%
2002,94,The Master of Disguise,"$43,411,001","$40,388,794",93%,"$3,022,207",7%
2002,95,Orange County,"$43,325,009","$41,076,018",94.8%,"$2,248,991",5.2%
2002,96,8 Women,"$42,426,583","$3,098,776",7.3%,"$39,327,807",92.7%
2002,97,Undercover Brother,"$41,604,473","$39,089,928",94%,"$2,514,545",6%
2002,98,Pinocchio,"$41,314,585","$3,675,719",8.9%,"$37,638,866",91.1%
2002,99,Clockstoppers,"$38,793,283","$36,989,956",95.4%,"$1,803,327",4.6%
2002,100,National Lampoon's Van Wilder,"$38,275,483","$21,305,259",55.7%,"$16,970,224",44.3%
2002,101,The Banger Sisters,"$38,068,353","$30,307,416",79.6%,"$7,760,937",20.4%
2002,102,Halloween: Resurrection,"$37,664,855","$30,354,442",80.6%,"$7,310,413",19.4%
2002,103,Swimfan,"$34,411,240","$28,564,995",83%,"$5,846,245",17%
2002,104,Darkness,"$33,988,736","$22,163,442",65.2%,"$11,825,294",34.8%
2002,105,Friday After Next,"$33,526,835","$33,253,609",99.2%,"$273,226",0.8%
2002,106,The Crocodile Hunter: Collision Course,"$33,082,548","$28,442,574",86%,"$4,639,974",14%
2002,107,Confessions of a Dangerous Mind,"$33,013,805","$16,007,718",48.5%,"$17,006,087",51.5%
2002,108,Adaptation.,"$32,801,173","$22,498,520",68.6%,"$10,302,653",31.4%
2002,109,Hart's War,"$32,287,044","$19,077,641",59.1%,"$13,209,403",40.9%
2002,110,Blood Work,"$31,794,718","$26,235,081",82.5%,"$5,559,637",17.5%
2002,111,The New Guy,"$31,167,388","$29,760,152",95.5%,"$1,407,236",4.5%
2002,112,City of God,"$30,641,770","$7,564,459",24.7%,"$23,077,311",75.3%
2002,113,Solaris,"$30,002,758","$14,973,382",49.9%,"$15,029,376",50.1%
2002,114,The Four Feathers,"$29,882,645","$18,306,166",61.3%,"$11,576,479",38.7%
2002,115,City by the Sea,"$29,414,087","$22,449,000",76.3%,"$6,965,087",23.7%
2002,116,Christmas on the Nile,"$29,320,869",-,-,"$29,320,869",100%
2002,117,Far from Heaven,"$29,027,914","$15,901,849",54.8%,"$13,126,065",45.2%
2002,118,Family Honor,"$28,903,789",-,-,"$28,903,789",100%
2002,119,Brown Sugar,"$28,316,451","$27,363,891",96.6%,"$952,560",3.4%
2002,120,The Spanish Apartment,"$28,193,749","$1,067,438",3.8%,"$27,126,311",96.2%
2002,121,Pokemon 4Ever: Celebi - Voice of the Forest,"$28,023,563","$1,727,447",6.2%,"$26,296,116",93.8%
2002,122,The Quiet American,"$27,674,124","$12,988,801",46.9%,"$14,685,323",53.1%
2002,123,The Crime of Padre Amaro,"$26,996,738","$5,717,044",21.2%,"$21,279,694",78.8%
2002,124,All About the Benjamins,"$26,306,533","$25,916,319",98.5%,"$390,214",1.5%
2002,125,Rollerball,"$25,852,764","$18,990,798",73.5%,"$6,861,966",26.5%
2002,126,Jonah: A VeggieTales Movie,"$25,615,231","$25,581,229",99.9%,"$34,002",0.1%
2002,127,The Way Home,"$24,952,738","$445,367",1.8%,"$24,507,371",98.2%
2002,128,Punch-Drunk Love,"$24,665,649","$17,844,216",72.3%,"$6,821,433",27.7%
2002,129,The Guru,"$24,128,852","$3,095,506",12.8%,"$21,033,346",87.2%
2002,130,Dark Water,"$24,010,000",-,-,"$24,010,000",100%
2002,131,25th Hour,"$23,928,503","$13,084,595",54.7%,"$10,843,908",45.3%
2002,132,Sex Is Zero,"$23,915,279",-,-,"$23,915,279",100%
2002,133,Eight Crazy Nights,"$23,833,131","$23,586,598",99%,"$246,533",1%
2002,134,Detective Conan: The Phantom of Baker Street,"$23,786,606",-,-,"$23,786,606",100%
2002,135,Antwone Fisher,"$23,367,586","$21,078,145",90.2%,"$2,289,441",9.8%
2002,136,Ali G Indahouse,"$23,280,529",-,-,"$23,280,529",100%
2002,137,Super Troopers,"$23,182,223","$18,492,362",79.8%,"$4,689,861",20.2%
2002,138,"The Legend of Al, John and Jack","$23,039,985",-,-,"$23,039,985",100%
2002,139,Phone,"$21,784,403",-,-,"$21,784,403",100%
2002,140,White Oleander,"$21,672,284","$16,357,770",75.5%,"$5,314,514",24.5%
2002,141,Pokémon Heroes,"$20,867,919","$746,381",3.6%,"$20,121,538",96.4%
2002,142,Serving Sara,"$20,146,150","$16,930,185",84%,"$3,215,965",16%
2002,143,Asterix & Obelix: Mission Cleopatra 2002 Re-release,"$20,015,611","$3,115,188",15.6%,"$16,900,423",84.4%
2002,144,Ballistic: Ecks vs. Sever,"$19,924,033","$14,307,963",71.8%,"$5,616,070",28.2%
2002,145,S1m0ne,"$19,576,023","$9,688,676",49.5%,"$9,887,347",50.5%
2002,146,The Lion King 2002 IMAX Release,"$19,486,215","$15,686,215",80.5%,"$3,800,000",19.5%
2002,147,Tuck Everlasting,"$19,344,615","$19,161,999",99.1%,"$182,616",0.9%
2002,148,Half Past Dead,"$19,233,280","$15,567,860",80.9%,"$3,665,420",19.1%
2002,149,Martin Lawrence Live: Runteldat,"$19,184,820","$19,184,820",100%,-,-
2002,150,Feardotcom,"$18,902,015","$13,258,249",70.1%,"$5,643,766",29.9%
2002,151,Empire,"$18,591,272","$17,600,423",94.7%,"$990,849",5.3%
2002,152,The Country Bears,"$18,012,097","$16,990,825",94.3%,"$1,021,272",5.7%
2002,153,Jail Breakers,"$17,797,711",-,-,"$17,797,711",100%
2002,154,The Last Kiss,"$17,720,347","$1,048,950",5.9%,"$16,671,397",94.1%
2002,155,Frailty,"$17,423,030","$13,110,448",75.2%,"$4,312,582",24.8%
2002,156,The Importance of Being Earnest,"$17,290,970","$8,384,929",48.5%,"$8,906,041",51.5%
2002,157,Kung Pow: Enter the Fist,"$16,994,625","$16,037,962",94.4%,"$956,663",5.6%
2002,158,Dead Weight,"$16,987,957",-,-,"$16,987,957",100%
2002,159,Life or Something Like It,"$16,872,671","$14,448,589",85.6%,"$2,424,082",14.4%
2002,160,The Good Girl,"$16,856,124","$14,018,296",83.2%,"$2,837,828",16.8%
2002,161,Femme Fatale,"$16,838,910","$6,630,252",39.4%,"$10,208,658",60.6%
2002,162,They,"$16,446,271","$12,840,842",78.1%,"$3,605,429",21.9%
2002,163,The Powerpuff Girls Movie,"$16,426,471","$11,412,414",69.5%,"$5,014,057",30.5%
2002,164,The Magdalene Sisters,"$16,373,112","$306,989",1.9%,"$16,066,123",98.1%
2002,165,The Emperor's Club,"$16,318,449","$14,118,751",86.5%,"$2,199,698",13.5%
2002,166,Rabbit-Proof Fence,"$16,217,411","$6,199,600",38.2%,"$10,017,811",61.8%
2002,167,Birthday Girl,"$16,171,098","$5,142,576",31.8%,"$11,028,522",68.2%
2002,168,To Be and to Have,"$16,063,920","$777,129",4.8%,"$15,286,791",95.2%
2002,169,Doraemon: Nobita and the Robot Kingdom,"$16,053,687",-,-,"$16,053,687",100%
2002,170,Public Enemy,"$15,897,574",-,-,"$15,897,574",100%
2002,171,Hey Arnold! The Movie,"$15,249,308","$13,728,902",90%,"$1,520,406",10%
2002,172,Boat Trip,"$15,020,293","$8,600,126",57.3%,"$6,420,167",42.7%
2002,173,Undisputed,"$14,946,150","$12,764,657",85.4%,"$2,181,493",14.6%
2002,174,Possession,"$14,815,898","$10,113,733",68.3%,"$4,702,165",31.7%
2002,175,Hollywood Ending,"$14,569,744","$4,850,753",33.3%,"$9,718,991",66.7%
2002,176,Stealing Harvard,"$14,277,032","$14,036,406",98.3%,"$240,626",1.7%
2002,177,Godzilla Against MechaGodzilla,"$14,122,958",-,-,"$14,122,958",100%
2002,178,Wet Dreams,"$13,936,317",-,-,"$13,936,317",100%
2002,179,Dirty Pretty Things,"$13,904,766","$8,112,414",58.3%,"$5,792,352",41.7%
2002,180,Juwanna Mann,"$13,802,599","$13,670,733",99%,"$131,866",1%
2002,181,Trapped,"$13,414,416","$7,073,251",52.7%,"$6,341,165",47.3%
2002,182,Toei Spring Anime Fair,"$13,107,237",-,-,"$13,107,237",100%
